,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
56,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,28274460,2. Conquer The Stars,57.86,R8 1350m Hcap,LOSER,4454.08,16.0,12.5,15.5,0,0.017283097131005877,0.0625
57,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,38523342,1. Getyourgreyon,6.13,R8 1350m Hcap,LOSER,29282.54,4.12,3.7,3.7,0,0.1631321370309951,0.24271844660194175
58,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,38521609,6. Avalon Street,25.74,R1 1618m Mdn,LOSER,663.45,87.58,55,55,0,0.038850038850038855,0.011418131993605847
59,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,22579702,5. Montiblu,2.67,R1 1618m Mdn,LOSER,11677.58,3.36,3.2,3.3,0,0.37453183520599254,0.2976190476190476
60,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,22579701,4. Wingsonmyfeet,11.46,R1 1618m Mdn,LOSER,4357.57,8.41,9.4,8.4,0,0.08726003490401396,0.11890606420927467
61,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,37796206,3. Gin N Swanic,5.7,R1 1618m Mdn,WINNER,7042.12,5.6,5.1,5.6,1,0.17543859649122806,0.17857142857142858
62,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,38521608,2. Bingled,29.88,R1 1618m Mdn,LOSER,606.18,49.03,60,38,0,0.03346720214190094,0.020395676116663267
63,2021-02-18,GERALDTON,1,R1 1618m Mdn,1.179420557,12365633,1. Firebrace,3.44,R1 1618m Mdn,LOSER,23757.47,2.46,2.58,2.72,0,0.29069767441860467,0.4065040650406504
64,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,27186003,8. Atia,27.37,R2 1213m Mdn,LOSER,908.13,24.8,38,22,0,0.03653635367190354,0.04032258064516129
65,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,803363,7. Out Of Fashion,2.11,R2 1213m Mdn,WINNER,30560.69,1.93,1.77,2.08,1,0.47393364928909953,0.5181347150259068
66,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,38521610,6. Machali,5.44,R2 1213m Mdn,LOSER,8903.43,4.84,4.8,5.5,0,0.1838235294117647,0.2066115702479339
67,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,38382541,5. Friarson,30.02,R2 1213m Mdn,LOSER,510.83,90.0,65,95,0,0.033311125916055964,0.011111111111111112
68,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,25055113,2. Empire Khan,27.36,R2 1213m Mdn,LOSER,1052.71,36.0,24,29,0,0.03654970760233918,0.027777777777777776
69,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,23388872,1. Robyns Son,7.16,R2 1213m Mdn,LOSER,7170.88,6.0,6.6,5.3,0,0.13966480446927373,0.16666666666666666
70,2021-02-18,GERALDTON,2,R2 1213m Mdn,1.179420559,38090742,3. Mr Rossi,11.15,R2 1213m Mdn,LOSER,1840.63,17.41,18.5,16,0,0.08968609865470852,0.05743825387708214
71,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,28304162,7. Kwik Fantasy,19.28,R3 2125m Hcap,LOSER,1064.64,31.54,38,30,0,0.051867219917012444,0.031705770450221944
72,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,10874966,6. Galaxy Blaze,12.0,R3 2125m Hcap,LOSER,3758.42,6.8,8,7.6,0,0.08333333333333333,0.14705882352941177
73,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,20930797,5. Brother Rand,41.37,R3 2125m Hcap,LOSER,474.96,60.19,70,65,0,0.024172105390379502,0.01661405549094534
74,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,826008,4. Black Money,20.82,R3 2125m Hcap,LOSER,963.23,24.48,36,24,0,0.04803073967339097,0.04084967320261438
75,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,4889638,3. Wild Memories,6.31,R3 2125m Hcap,WINNER,10839.72,7.46,6.6,6.4,1,0.1584786053882726,0.13404825737265416
