market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997224,3. Vexatious Boy,LOSER,142.58,322.38 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997225,4. Abandoned,LOSER,122.73,451.61000000000007 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,25793002,5. Black Diamonds,LOSER,335.66,248.88999999999996 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,24325910,6. Gatsbys Girl,LOSER,9.63,6527.979999999996 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997226,7. Vicarium,LOSER,38.00,1464.3199999999993 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997227,8. Centre Circle,LOSER,32.80,1974.6899999999994 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997228,9. Gogolf Guru,LOSER,4.30,19986.059999999998 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997230,11. Squishie,LOSER,31.71,2221.94 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997231,12. Strike The Night,LOSER,5.30,21240.749999999996 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997232,13. Three Tears,WINNER,5.00,27144.090000000004 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997233,14. Wild Option,LOSER,70.00,403.62 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997234,15. Jus Tin,LOSER,55.29,940.3 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997229,10. Spanish Heirloom,REMOVED,,0 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,29256375,1. Cracking Night,LOSER,16.00,4503.309999999995 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995198,2. Liqueuro,WINNER,6.20,13948.839999999998 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995199,3. Midtown Magic,LOSER,5.23,10704.720000000001 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995200,4. Our Headline,LOSER,130.00,213.92999999999995 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995201,5. The Admiral,LOSER,15.19,1968.1699999999998 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995202,6. Akahai,LOSER,23.00,1070.4999999999995 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,28337446,8. Queen Adele,LOSER,32.19,941.5600000000003 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,37995204,9. Starspangled Baby,LOSER,58.28,1675.24 
1.177442884,2021-01-01 03:06:00,AU,Mornington,R2 1500m Mdn,33958030,10. Write The Score,LOSER,2.36,75113.98999999999 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995142,1. Without Shame,LOSER,1.78,51842.929999999986 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,28540846,2. Four Egos,LOSER,26.00,1181.5300000000007 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,23081864,3. Fenerbache,LOSER,23.25,1445.58 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,4795077,4. Solar Panel,WINNER,26.39,988.29 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,28255853,5. Leslie James,LOSER,65.00,376.29 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995143,6. Suvero,LOSER,30.00,918.88 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,36528155,7. Cicilo,LOSER,78.81,472.5 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995144,8. Go Lennie Go,LOSER,67.07,1016.9800000000001 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,26596508,9. Vinaigrette,LOSER,14.50,1913.3000000000002 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,28230660,10. Volfoni,REMOVED,,0 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995145,11. Perhaps Deday,LOSER,18.72,2229.9400000000005 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995146,12. Ah Well,LOSER,38.00,1043.14 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995147,13. Keiretsu,LOSER,48.31,565.7100000000002 
